0.49000000000000005,8,\frac{(\frac{x \cdot 10}{2}-\frac{x}{10})}{10}
0.45,6,\frac{(x-\frac{x}{10})}{2}
0.4,5,\frac{x \cdot 2 \cdot 2}{10}
0.35,8,(\frac{x}{10}+\frac{\frac{x}{2}}{2})
0.3,5,\frac{x \cdot 3}{10}
0.275,8,\frac{\frac{(\frac{x}{10}+x)}{2}}{2}
0.25,4,\frac{\frac{x}{2}}{2}
0.225,8,\frac{\frac{(x-\frac{x}{10})}{2}}{2}
0.22000000000000003,7,\frac{(\frac{x}{10}+x) \cdot 2}{10}
0.21000000000000002,7,\frac{(x \cdot 2+\frac{x}{10})}{10}
0.202,8,\frac{(\frac{\frac{x}{10}}{10}+x) \cdot 2}{10}
0.20099999999999998,8,\frac{(x \cdot 2+\frac{\frac{x}{10}}{10})}{10}
0.2,3,\frac{x \cdot 2}{10}
0.199,8,\frac{(x \cdot 2-\frac{\frac{x}{10}}{10})}{10}
0.19,7,\frac{(x \cdot 2-\frac{x}{10})}{10}
0.18,7,\frac{(x-\frac{x}{10}) \cdot 2}{10}
0.15,6,\frac{(\frac{x}{2}+x)}{10}
0.125,6,\frac{\frac{\frac{x}{2}}{2}}{2}
0.12,7,\frac{(\frac{x \cdot 2}{10}+x)}{10}
0.11000000000000001,5,\frac{(\frac{x}{10}+x)}{10}
0.10500000000000001,7,\frac{(\frac{\frac{x}{10}}{2}+x)}{10}
0.10200000000000001,8,\frac{(\frac{\frac{x \cdot 2}{10}}{10}+x)}{10}
0.101,6,\frac{(\frac{\frac{x}{10}}{10}+x)}{10}
0.10049999999999999,8,\frac{(\frac{\frac{\frac{x}{10}}{10}}{2}+x)}{10}
0.1,1,\frac{x}{10}
